class_id,class_name_sinhala,class_name_english
0,දෙක,2. two
1,නැවත,Again
2,ලස්සන,Beautiful
3,බළලා,Cat
4,එන්න,Come
5,උයන්න,Cook
6,අඬන්න,Cry
7,කපන්න,Cut
8,දවස,Day
9,බොන්න,Drink
10,කන්න,Eat
11,අයියා,Elder bro
12,අක්කා,Elder sister
13,අලියා,Elephant
14,රණ්ඩු,Fight
15,යන්න,Go
16,හොඳ,Good
17,සීයා,Grand father
18,කොළ,Green
19,ආයුබෝවන්,Hello
20,උදව්,Help
21,ගෙදර,House
22,මම,I
23,බලන්න,Look
24,මිනිසා,Man
25,හමුවෙනවා,Meet
26,සඳුදා,Monday
27,සල්ලි,Money
28,අම්මා,Mother
29,මගේ,My
30,සෙල්ලම්,Play
31,දම්,Purple
32,රතු,Red
33,දුවන්න,Run
34,දකිනවා,See
35,විකුණනවා,Sell
36,නිදාගන්නවා,Sleep
37,ලේනා,Squirrel
38,උගන්වනවා,Teach
39,කියන්න,Tell
40,ස්තුතියි,Thank you
41,අද,Today
42,අපිට,Us
43,ඇවිදිනවා,Walk
44,ඕන,Want
45,සුදු,White
46,ලියන්න,Write
47,කහ,Yellow
48,ඔයා,You
49,මල්ලි,Younger bro
